Calyear;Deaths
2002;75845
2003;76998
2004;75455
2005;74990
2006;74058
2007;74371
2008;74645
2009;77590
2010;75851
2011;75124
2012;77721
2013;78003
2014;76774
2015;82958
2016;78842
2017;81311
2018;82063
2019;81557
2020;91195
2021;87992
